"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id","gene_length","gene_biotype","entrezgene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GNLY","ENSG00000115523","GNLY","ENSG00000115523.15",3051,"protein_coding","10578",4.00671359752696,2.49171969437566,13.8060905593974,3.27522608957026e-24,4.4798542453142e-20,44.407675486696
"NKG7","ENSG00000105374","NKG7","ENSG00000105374.8",935,"protein_coding","4818",3.16959260851342,2.40921715804578,12.9606672887091,1.58395957059778e-22,9.88294089361356e-19,40.6429446723559
"GZMB","ENSG00000100453","GZMB","ENSG00000100453.11",1411,"protein_coding","3002",2.93979742819568,2.98190670510512,12.8930348651082,2.16762850422874e-22,9.88294089361356e-19,40.4010588566082
"ZNF683","ENSG00000176083","ZNF683","ENSG00000176083.16",2379,"protein_coding","257101",4.43950893535113,-0.126945882845199,12.6465613045671,6.82751232541242e-22,2.33466783967478e-18,38.6803428729335
"CD7","ENSG00000173762","CD7","ENSG00000173762.6",2735,"protein_coding","924",2.80323899541757,2.8135250811281,12.3916830545963,2.25101083122724e-21,6.15786522990523e-18,38.0988020907235
"CD247","ENSG00000198821","CD247","ENSG00000198821.9",4034,"protein_coding","919",2.1620268773129,2.0887310235187,12.1171714665334,8.19409321109085e-21,1.86798011568834e-17,36.7723739010615
"CCL5","ENSG00000271503","CCL5","ENSG00000271503.4",1512,"protein_coding","6352",2.87892512572605,4.27414538067523,12.0298656588998,1.23767830432339e-20,2.4184234066479e-17,36.4703206632282
"GZMA","ENSG00000145649","GZMA","ENSG00000145649.7",894,"protein_coding","3001",3.19579304636551,2.31667074090696,11.9506776245086,1.80020793141647e-20,3.07790551073931e-17,36.0228011762148
"APOBEC3H","ENSG00000100298","APOBEC3H","ENSG00000100298.14",1251,"protein_coding","164668",2.49899070118181,-1.14478639749375,11.8286146099122,3.21079852044538e-20,4.87970024029466e-17,34.8122545381175
"PRF1","ENSG00000180644","PRF1","ENSG00000180644.6",2534,"protein_coding","5551",2.80727623888127,3.05938803312512,11.6707470553726,6.79900430709563e-20,9.2996780912454e-17,34.7765720489314
"PDCD1","ENSG00000188389","PDCD1","ENSG00000188389.9",2114,"protein_coding","5133",2.62050950364893,0.974728239419014,11.458580176229,1.86964837549458e-19,2.30754869558556e-16,33.5884202052168
"HCST","ENSG00000126264","HCST","ENSG00000126264.8",613,"protein_coding","10870",2.2807715444052,1.17408828987485,11.4345452384425,2.09712771613362e-19,2.30754869558556e-16,33.5088833695161
"GZMM","ENSG00000197540","GZMM","ENSG00000197540.6",945,"protein_coding","3004",2.43668267521423,0.0259953868099071,11.4251744275311,2.19316662104199e-19,2.30754869558556e-16,33.2690545072178
"XCL2","ENSG00000143185","XCL2","ENSG00000143185.3",565,"protein_coding","6846",2.97323922917345,-2.50362930382838,11.2795685202114,4.40160573080879e-19,4.30036879900018e-16,32.1168364467126
"CD3D","ENSG00000167286","CD3D","ENSG00000167286.8",929,"protein_coding","915",2.33204485908549,2.23191971150931,11.1016706764623,1.03313052250998e-18,9.42077285792769e-16,32.0712875990385
"KIR2DL4","ENSG00000189013","KIR2DL4","ENSG00000189013.13",1724,"protein_coding",NA,3.52132381635706,-1.83634873666112,11.0461922828861,1.34866938621489e-18,1.15294374154046e-15,31.1780665121279
"TBX21","ENSG00000073861","TBX21","ENSG00000073861.2",2614,"protein_coding","30009",2.63289998933243,-0.714530184548496,10.8519975330251,3.43364731126116e-18,2.76267223079001e-15,30.506090019082
"APOBEC3G","ENSG00000239713","APOBEC3G","ENSG00000239713.6",5454,"protein_coding","60489",2.39818530732687,3.01734454962884,10.8236734145974,3.93582002164755e-18,2.9907859031164e-15,30.7939019983055
"GZMH","ENSG00000100450","GZMH","ENSG00000100450.11",951,"protein_coding","2999",3.0434123119715,0.742506322214982,10.7740162911607,5.00048483943484e-18,3.59982271756788e-15,30.3877350071087
"LAG3","ENSG00000089692","LAG3","ENSG00000089692.7",3056,"protein_coding","3902",2.88196256222114,2.11335984693943,10.7599635911378,5.35116398680194e-18,3.65966105057384e-15,30.457624398285
"SIRPG","ENSG00000089012","SIRPG","ENSG00000089012.13",2242,"protein_coding","55423",2.25808385336273,0.800224487774216,10.6179219139978,1.06230616262265e-17,6.91915413921556e-15,29.6731694492699
"CCL4","ENSG00000275302","CCL4","ENSG00000275302.1",2032,"protein_coding","6351",2.2733836588063,2.86249423828287,10.5816803309221,1.26563284872392e-17,7.86878459311173e-15,29.6457633249256
"STX11","ENSG00000135604","STX11","ENSG00000135604.9",1926,"protein_coding","8676",1.79211066621673,1.39187958367698,10.5061166836127,1.8238151632919e-17,1.08461494797855e-14,29.2140381260003
"IL2RB","ENSG00000100385","IL2RB","ENSG00000100385.12",4700,"protein_coding","3560",2.22772407708427,3.76247969089482,10.4036774630034,2.99417672824221e-17,1.70643122037071e-14,28.7878468144484
"CD8A","ENSG00000153563","CD8A","ENSG00000153563.14",3634,"protein_coding","925",2.70291771600013,2.72613346598569,10.3234685364943,4.41564143562568e-17,2.41588574225952e-14,28.4180837533224
"PPM1M","ENSG00000164088","PPM1M","ENSG00000164088.16",3571,"protein_coding","132160",1.1922406120019,3.75938887370748,10.3071072003654,4.77995255949304e-17,2.51462273495176e-14,28.3216622349917
"CTSW","ENSG00000172543","CTSW","ENSG00000172543.6",1719,"protein_coding","1521",2.9465579732359,1.3600481668698,10.2551574237148,6.14857135078322e-17,3.11482070133381e-14,28.0292332989919
"XCL1","ENSG00000143184","XCL1","ENSG00000143184.4",1367,"protein_coding","6375",2.87633210982209,-2.35574177822841,10.1764143792485,9.00756695290848e-17,4.40019645649579e-14,27.1655666080457
"ITGAE","ENSG00000083457","ITGAE","ENSG00000083457.10",6657,"protein_coding","3682",1.23988260809614,4.17141990000982,10.1525288254253,1.01141563914289e-16,4.77039417661947e-14,27.5602872036614
"GPR25","ENSG00000170128","GPR25","ENSG00000170128.3",1086,"protein_coding","2848",3.30618240360169,-2.09223506823958,10.1156617753785,1.20953313014438e-16,5.51466471803829e-14,26.9395050450666
"ODF3B","ENSG00000177989","ODF3B","ENSG00000177989.12",2301,"protein_coding","440836",1.93854726513845,3.39157384476516,10.0709397404454,1.50274041081454e-16,6.53469715700834e-14,27.2091285288478
"CALHM6","ENSG00000188820","CALHM6","ENSG00000188820.11",1194,"protein_coding","441168",2.5487085760938,2.06670048021792,10.0673968833659,1.52880764018326e-16,6.53469715700834e-14,27.186716223725
"KLHDC7B","ENSG00000130487","KLHDC7B","ENSG00000130487.5",2991,"protein_coding","113730",2.39783885788512,0.669045118921811,10.0396110504274,1.74958593582323e-16,7.25176861520915e-14,26.9572452366767
"CD3E","ENSG00000198851","CD3E","ENSG00000198851.8",2844,"protein_coding","916",2.19878557699167,3.31805453555943,10.0229105936469,1.89736348420282e-16,7.63298168733124e-14,26.982617756232
"HLA-DMB","ENSG00000242574","HLA-DMB","ENSG00000242574.7",4655,"protein_coding","3109",2.2194095949334,4.82877014628471,10.0127528596862,1.99329346707813e-16,7.78979086934135e-14,26.8596663598759
"CXCR6","ENSG00000172215","CXCR6","ENSG00000172215.5",3769,"protein_coding","10663",2.14313068860037,2.0909380995758,9.9434065864901,2.79152667337641e-16,1.06062505106785e-13,26.6010290324964
"TYMP","ENSG00000025708","TYMP","ENSG00000025708.11",3349,"protein_coding","1890",2.2727253984877,6.15763902986094,9.91857705972851,3.14939541813962e-16,1.16425487917064e-13,26.3514454110223
"TNFRSF18","ENSG00000186891","TNFRSF18","ENSG00000186891.12",1370,"protein_coding","8784",2.21779130920117,1.5988364446495,9.89833609992159,3.47485254925362e-16,1.25076403075503e-13,26.3659853800627
"CST7","ENSG00000077984","CST7","ENSG00000077984.5",930,"protein_coding","8530",1.89878224841241,1.99962039687728,9.85389288130578,4.31248286024033e-16,1.5124651426248e-13,26.1739778243079
"SLA2","ENSG00000101082","SLA2","ENSG00000101082.12",2757,"protein_coding","84174",2.00206527875089,0.986422625011567,9.8122844512079,5.2790079185804e-16,1.80515675775857e-13,25.9207124187821
"CD244","ENSG00000122223","CD244","ENSG00000122223.11",2857,"protein_coding","51744",2.41775764339489,0.0394873617261183,9.75697779479687,6.90736936927401e-16,2.30436581055927e-13,25.5693495729141
"HLA-DQB1","ENSG00000179344","HLA-DQB1","ENSG00000179344.15",4904,"protein_coding","3119",2.60223907348001,6.25000078214728,9.73234254525296,7.78625288654925e-16,2.53572302338621e-13,25.4542777301086
"LST1","ENSG00000204482","LST1","ENSG00000204482.9",2281,"protein_coding","7940",1.5965408253564,2.57585317675905,9.69797118896455,9.20254998853881e-16,2.89265562187538e-13,25.4420818235657
